title,year,venue,authors,n_authors,doi,arxiv,citations,type,oa,url,sources,query_sets,phrases,abstract,decision,reason_code,supervision,zs_claim,task,llm_role,observation,scene_repr,benchmark,sr,spl,real_robot,code_available,notes
CEED-VLA: Consistency Vision-Language-Action Model with Early-Exit Decoding,2025,arXiv.org,Wenxuan Song; Jiayi Chen; Pengxiang Ding; Yuxin Huang et al.,7,10.48550/arXiv.2506.13725,2506.13725,39,JournalArticle,True,https://www.semanticscholar.org/paper/d8ff6390de28ab7833a038eafdc8c45394a24864,openalex|openreview|s2,recall,vision-language-action model,"In recent years, Vision-Language-Action (VLA) models have become a vital research direction in robotics due to their impressive multimodal understanding and generalization capabilities. Despite the progress, their practical deployment is severely constrained by inference speed bottlenecks, particularly in high-frequency and dexterous manipulation tasks. While recent studies have explored Jacobi decoding as a more efficient alternative to traditional autoregressive decoding, its practical benefits are marginal due to the lengthy iterations. To address it, we introduce consistency distillation training to predict multiple correct action tokens in each iteration, thereby achieving acceleration. Besides, we design mixed-label supervision to mitigate the error accumulation during distillation. Although distillation brings acceptable speedup, we identify that certain inefficient iterations remain a critical bottleneck. To tackle this, we propose an early-exit decoding strategy that moderately relaxes convergence conditions, which further improves average inference efficiency. Experimental results show that the proposed method achieves more than 4 times inference acceleration across different baselines while maintaining high task success rates in both simulated and real-world robot tasks. These experiments validate that our approach provides an efficient and general paradigm for accelerating multimodal decision-making in robotics. Our project page is available at https://irpn-eai.gi",exclude,EC3,,,,,,,,,,,,
Zero-Shot Object Goal Visual Navigation,2023,ICRA 2023,Qianfan Zhao; Lu Zhang; Bin He; Hong Qiao et al.,5,10.1109/icra48891.2023.10161289,,39,conference-paper,True,https://openreview.net/forum?id=O9uv2uLesr,openalex|openreview,recall|zeroshot,object navigation|zero-shot object navigation,"Object goal visual navigation is a challenging task that aims to guide a robot to find the target object based on its visual observation, and the target is limited to the classes pre-defined in the training stage. However, in real households, there may exist numerous target classes that the robot needs to deal with, and it is hard for all of these classes to be contained in the training stage. To address this challenge, we study the zero-shot object goal visual navigation task, which aims at guiding robots to find targets belonging to novel classes without any training samples. To this end, we also propose a novel zero-shot object navigation framework called semantic similarity network (SSNet). Our framework use the detection results and the cosine similarity between semantic word embeddings as input. Such type of input data has a weak correlation with classes and thus our framework has the ability to generalize the policy to novel classes. Extensive experiments on the AI2-THOR platform show that our model outperforms the baseline models in the zero-shot object navigation task, which proves the generalization ability of our model. Our code is available at: https://github.com/pioneer-innovation/Zero-Shot-Object-Navigation.",exclude,EC1,,candidate,,,,,,,,,,
Open scene graphs for open-world object-goal navigation,2025,The International Journal of Robotics Research,Joel Loo; Zhanxin Wu; David Hsu,3,10.1177/02783649251369549,2508.04678,38,journal-article,True,https://doi.org/10.1177/02783649251369549,arxiv|crossref|dblp|openalex|openreview|s2,recall,object goal navigation|object-goal navigation|semantic navigation,"How can we build general-purpose robot systems for open-world semantic navigation, for example, searching a novel environment for a target object specified in natural language? To tackle this challenge, we introduce OSG Navigator , a modular system composed of foundation models, for open-world Object-Goal Navigation (ObjectNav). Foundation models provide enormous semantic knowledge about the world, but struggle to organise and maintain spatial information effectively at scale. Key to OSG Navigator is the Open Scene Graph representation, which acts as spatial memory for OSG Navigator. It organises spatial information hierarchically using OSG schemas , which are templates, each describing the common structure of a class of environments. OSG schemas can be automatically generated from simple semantic labels of a given environment, for example, ‘home’ or ‘supermarket’. They enable OSG Navigator to adapt zero-shot to new environment types. We conducted experiments using both Fetch and Spot robots in simulation and in the real world, showing that OSG Navigator achieves state-of-the-art performance on ObjectNav benchmarks and generalises zero-shot over diverse goals, environments and robot embodiments.",exclude,EC2,,candidate,ObjectNav,,,,,,,,,
"Vision-Language-Action Models for Autonomous Driving: Past, Present, and Future",2025,arXiv.org,Tianshuai Hu; Xiaolu Liu; Song Wang; Yiyao Zhu et al.,20,10.48550/arXiv.2512.16760,2512.16760,38,JournalArticle,True,https://www.semanticscholar.org/paper/08b7debb4e2a06bac6b0dc6b8a86300123cd2f61,openalex|s2,recall,vision-language-action model,"Autonomous driving has long relied on modular""Perception-Decision-Action""pipelines, where hand-crafted interfaces and rule-based components often break down in complex or long-tailed scenarios. Their cascaded design further propagates perception errors, degrading downstream planning and control. Vision-Action (VA) models address some limitations by learning direct mappings from visual inputs to actions, but they remain opaque, sensitive to distribution shifts, and lack structured reasoning or instruction-following capabilities. Recent progress in Large Language Models (LLMs) and multimodal learning has motivated the emergence of Vision-Language-Action (VLA) frameworks, which integrate perception with language-grounded decision making. By unifying visual understanding, linguistic reasoning, and actionable outputs, VLAs offer a pathway toward more interpretable, generalizable, and human-aligned driving policies. This work provides a structured characterization of the emerging VLA landscape for autonomous driving. We trace the evolution from early VA approaches to modern VLA frameworks and organize existing methods into two principal paradigms: End-to-End VLA, which integrates perception, reasoning, and planning within a single model, and Dual-System VLA, which separates slow deliberation (via VLMs) from fast, safety-critical execution (via planners). Within these paradigms, we further distinguish subclasses such as textual vs. numerical action generators and explicit vs. implic",exclude,EC5,,,,,,,,,,,,
SEEK: Semantic Reasoning for Object Goal Navigation in Real World Inspection Tasks,2024,Robotics: Science and Systems Conference,M. Ginting; Sung-Kyun Kim; David D. Fan; M. Palieri et al.,6,10.48550/arXiv.2405.09822,2405.09822,38,JournalArticle,True,https://www.semanticscholar.org/paper/3dd1a5373aa3205bbd1f81c1383c25024f13d051,arxiv|crossref|openalex|openreview|s2,recall,object goal navigation|object-goal navigation,"This paper addresses the problem of object-goal navigation in autonomous inspections in real-world environments. Object-goal navigation is crucial to enable effective inspections in various settings, often requiring the robot to identify the target object within a large search space. Current object inspection methods fall short of human efficiency because they typically cannot bootstrap prior and common sense knowledge as humans do. In this paper, we introduce a framework that enables robots to use semantic knowledge from prior spatial configurations of the environment and semantic common sense knowledge. We propose SEEK (Semantic Reasoning for Object Inspection Tasks) that combines semantic prior knowledge with the robot's observations to search for and navigate toward target objects more efficiently. SEEK maintains two representations: a Dynamic Scene Graph (DSG) and a Relational Semantic Network (RSN). The RSN is a compact and practical model that estimates the probability of finding the target object across spatial elements in the DSG. We propose a novel probabilistic planning framework to search for the object using relational semantic knowledge. Our simulation analyses demonstrate that SEEK outperforms the classical planning and Large Language Models (LLMs)-based methods that are examined in this study in terms of efficiency for object-goal inspection tasks. We validated our approach on a physical legged robot in urban environments, showcasing its practicality and effec",include,,,,ObjectNav,,,,,,,,,
VLA-OS: Structuring and Dissecting Planning Representations and Paradigms in Vision-Language-Action Models,2025,Neural Information Processing Systems,Chongkai Gao; Zixuan Liu; Zhenghao Chi; Junshan Huang et al.,11,10.48550/arXiv.2506.17561,2506.17561,38,JournalArticle,True,https://www.semanticscholar.org/paper/5a6047eb606a07ae564fe30f9af70ebc05f6cea1,openalex|s2,recall,vision-language-action model,"Recent studies on Vision-Language-Action (VLA) models have shifted from the end-to-end action-generation paradigm toward a pipeline involving task planning followed by action generation, demonstrating improved performance on various complex, long-horizon manipulation tasks. However, existing approaches vary significantly in terms of network architectures, planning paradigms, representations, and training data sources, making it challenging for researchers to identify the precise sources of performance gains and components to be further improved. To systematically investigate the impacts of different planning paradigms and representations isolating from network architectures and training data, in this paper, we introduce VLA-OS, a unified VLA architecture series capable of various task planning paradigms, and design a comprehensive suite of controlled experiments across diverse object categories (rigid and deformable), visual modalities (2D and 3D), environments (simulation and real-world), and end-effectors (grippers and dexterous hands). Our results demonstrate that: 1) visually grounded planning representations are generally better than language planning representations; 2) the Hierarchical-VLA paradigm generally achieves superior or comparable performance than other paradigms on task performance, pretraining, generalization ability, scalability, and continual learning ability, albeit at the cost of slower training and inference speeds.",exclude,EC3,,,,,,,,,,,,
RES-StS: Referring Expression Speaker via Self-Training With Scorer for Goal-Oriented Vision-Language Navigation,2023,IEEE Transactions on Circuits and Systems for Video Technology,Liuyi Wang; Zongtao He; Ronghao Dang; Huiyi Chen et al.,6,10.1109/tcsvt.2022.3233554,,37,journal-article,True,https://doi.org/10.1109/tcsvt.2022.3233554,crossref|openalex|s2,core,vision language navigation|vision-language navigation,"It is a rather practical but difficult task to find a specified target object via autonomous exploration based on natural language descriptions in an unstructured environment. Since the human-annotated data is expensive to gather for the goal-oriented vision-language navigation (GVLN) task, the size of the standard dataset is inadequate, which has significantly limited the accuracy of previous techniques. In this work, we aim to improve the robustness and generalization of the navigator by dynamically providing high-quality pseudo-instructions using a proposed RES-StS paradigm. Specifically, we establish a referring expression speaker (RES) to predict descriptive instructions for the given path to the goal object. Based on an environment-and-object fusion (EOF) module, RES derives spatial representations from the input trajectories, which are subsequently encoded by a number of transformer layers. Additionally, given that the quality of the pseudo labels is important for data augmentation while the limited dataset may also hinder RES learning, we propose to equip RES with a more effective generation ability by using the self-training approach. A trajectory-instruction matching scorer (TIMS) network based on contrastive learning is proposed to selectively use rehearsal of prior knowledge. Finally, all network modules in the system are integrated by suggesting a multi-stage training strategy, allowing them to assist one another and thus enhance performance on the GVLN task. Exp",check,no embodiment stated,,,,,,,,,,,,
CO-RFT: Efficient Fine-Tuning of Vision-Language-Action Models through Chunked Offline Reinforcement Learning,2025,arXiv.org,Dongchi Huang; Zhirui Fang; Tianle Zhang; Yihang Li et al.,6,10.48550/arXiv.2508.02219,2508.02219,37,JournalArticle,True,https://www.semanticscholar.org/paper/0ff9db0beb677f3b05e38837cb45b36b1d244f09,openalex|s2,recall,vision-language-action model,"Vision-Language-Action (VLA) models demonstrate significant potential for developing generalized policies in real-world robotic control. This progress inspires researchers to explore fine-tuning these models with Reinforcement Learning (RL). However, fine-tuning VLA models with RL still faces challenges related to sample efficiency, compatibility with action chunking, and training stability. To address these challenges, we explore the fine-tuning of VLA models through offline reinforcement learning incorporating action chunking. In this work, we propose Chunked RL, a novel reinforcement learning framework specifically designed for VLA models. Within this framework, we extend temporal difference (TD) learning to incorporate action chunking, a prominent characteristic of VLA models. Building upon this framework, we propose CO-RFT, an algorithm aimed at fine-tuning VLA models using a limited set of demonstrations (30 to 60 samples). Specifically, we first conduct imitation learning (IL) with full parameter fine-tuning to initialize both the backbone and the policy. Subsequently, we implement offline RL with action chunking to optimize the pretrained policy. Our empirical results in real-world environments demonstrate that CO-RFT outperforms previous supervised methods, achieving a 57% improvement in success rate and a 22.3% reduction in cycle time. Moreover, our method exhibits robust positional generalization capabilities, attaining a success rate of 44.3% in previously unseen ",exclude,EC4,,,,,,,,,,,,
Revisit Anything: Visual Place Recognition via Image Segment Retrieval,2024,European Conference on Computer Vision,Kartik Garg; Sai Shubodh Puligilla; Shishir N Y Kolathaya; Madhava Krishna et al.,5,10.1007/978-3-031-73113-6_19,2409.18049,37,"JournalArticle,Conference",True,https://www.semanticscholar.org/paper/17ac38393942451ab5210ddaea90a1beb28d2a57,arxiv|openalex|openreview|s2,recall,(s2 bulk)|object goal navigation|visual language navigation,"Accurately recognizing a revisited place is crucial for embodied agents to localize and navigate. This requires visual representations to be distinct, despite strong variations in camera viewpoint and scene appearance. Existing visual place recognition pipelines encode the""whole""image and search for matches. This poses a fundamental challenge in matching two images of the same place captured from different camera viewpoints:""the similarity of what overlaps can be dominated by the dissimilarity of what does not overlap"". We address this by encoding and searching for""image segments""instead of the whole images. We propose to use open-set image segmentation to decompose an image into `meaningful' entities (i.e., things and stuff). This enables us to create a novel image representation as a collection of multiple overlapping subgraphs connecting a segment with its neighboring segments, dubbed SuperSegment. Furthermore, to efficiently encode these SuperSegments into compact vector representations, we propose a novel factorized representation of feature aggregation. We show that retrieving these partial representations leads to significantly higher recognition recall than the typical whole image based retrieval. Our segments-based approach, dubbed SegVLAD, sets a new state-of-the-art in place recognition on a diverse selection of benchmark datasets, while being applicable to both generic and task-specialized image encoders. Finally, we demonstrate the potential of our method to ``re",exclude,EC4,,candidate,,,,,,,,,,
Zero-shot Object Navigation with Vision-Language Models Reasoning,2024,International Conference on Pattern Recognition,Congcong Wen; Yi-Shiang Huang; Hao Huang; Yanjia Huang et al.,9,10.48550/arXiv.2410.18570,2410.18570,37,"JournalArticle,Conference",True,https://www.semanticscholar.org/paper/422f4c91d8c71f93e55ad59081368f2f951c1840,arxiv|dblp|openalex|openreview|s2,recall|zeroshot,object navigation|zero-shot object navigation,"Object navigation is crucial for robots, but traditional methods require substantial training data and cannot be generalized to unknown environments. Zero-shot object navigation (ZSON) aims to address this challenge, allowing robots to interact with unknown objects without specific training data. Language-driven zero-shot object navigation (L-ZSON) is an extension of ZSON that incorporates natural language instructions to guide robot navigation and interaction with objects. In this paper, we propose a novel Vision Language model with a Tree-of-thought Network (VLTNet) for L-ZSON. VLTNet comprises four main modules: vision language model understanding, semantic mapping, tree-of-thought reasoning and exploration, and goal identification. Among these modules, Tree-of-Thought (ToT) reasoning and exploration module serves as a core component, innovatively using the ToT reasoning framework for navigation frontier selection during robot exploration. Compared to conventional frontier selection without reasoning, navigation using ToT reasoning involves multi-path reasoning processes and backtracking when necessary, enabling globally informed decision-making with higher accuracy. Experimental results on PASTURE and RoboTHOR benchmarks demonstrate the outstanding performance of our model in LZSON, particularly in scenarios involving complex natural language as target instructions.",include,,,candidate,,,,,,,,,,
BitVLA: 1-bit Vision-Language-Action Models for Robotics Manipulation,2025,arXiv.org,Hongyu Wang; Chuyan Xiong; Ruiping Wang; Xilin Chen,4,10.48550/arXiv.2506.07530,2506.07530,37,JournalArticle,True,https://www.semanticscholar.org/paper/90aa07ab554e2d57440dc1cceccb11c5a113205b,openalex|s2,recall,vision-language-action model,"Deploying powerful Vision-Language-Action (VLA) models on edge devices is limited by their massive size. In this paper, we take a deployment-oriented view of VLA training: we target efficiency through model design and optimization, rather than relying solely on post-hoc compression. Thus, we propose BitVLA, a fully native 1-bit VLA model for robotic manipulation, where every parameters is ternary, i.e., {-1,0,1}. BitVLA is built on the publicly available 1-bit LLM BitNet b1.58 2B4T, and is trained as a vision-language-action policy that inherits the compactness of 1-bit pretraining while retaining strong task performance. To further reduce the memory footprint of the vision backbone, we introduce Quantize-then-Distill, a post-training quantization-aware training strategy that compresses a full-precision vision encoder to 1.58-bit weights, while a full-precision teacher guides representation alignment during training. Across simulation benchmarks and real-world tasks, BitVLA matches the performance of the full-precision OpenVLA-OFT baseline, while reducing model memory by 11.0x and end-to-end latency by 4.4x. These results suggest a practical path toward training-time efficiency-accuracy co-design for embodied policies, enabling competitive manipulation capability on memory-constrained edge robotic platforms. We release the code in https://github.com/ustcwhy/BitVLA, model weights in https://huggingface.co/lxsy/bitvla-bf16.",exclude,EC3,,,,,,,,,,,,
A Taxonomy for Evaluating Generalist Robot Policies,2025,arXiv.org,Jensen Gao; Suneel Belkhale; S. Dasari; Ashwin Balakrishna et al.,6,10.48550/arXiv.2503.01238,2503.01238,37,JournalArticle,True,https://www.semanticscholar.org/paper/d76e8972e98e3bf7bff90d938fdea8af15b1671f,openalex|s2,recall,(s2 bulk)|vision-language-action model,"Machine learning for robot manipulation promises to unlock generalization to novel tasks and environments. But how should we measure the progress of these policies towards generalization? Evaluating and quantifying generalization is the Wild West of modern robotics, with each work proposing and measuring different types of generalization in their own, often difficult to reproduce settings. In this work, our goal is (1) to outline the forms of generalization we believe are important for robot manipulation in a comprehensive and fine-grained manner, and (2) to provide reproducible guidelines for measuring these notions of generalization. We first propose STAR-Gen, a taxonomy of generalization for robot manipulation structured around visual, semantic, and behavioral generalization. Next, we instantiate STAR-Gen with two case studies on real-world benchmarking: one based on open-source models and the Bridge V2 dataset, and another based on the bimanual ALOHA 2 platform that covers more dexterous and longer horizon tasks. Our case studies reveal many interesting insights: for example, we observe that open-source vision-language-action models often struggle with semantic generalization, despite pre-training on internet-scale language datasets. We provide videos and other supplementary material at stargen-taxonomy.github.io.",survey,EC6,,,,,,,,,,,,
A New Path: Scaling Vision-and-Language Navigation with Synthetic Instructions and Imitation Learning,2023,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),Aishwarya Kamath; Peter Anderson; Su Wang; Jing Yu Koh et al.,9,10.1109/cvpr52729.2023.01041,,36,proceedings-article,False,https://doi.org/10.1109/cvpr52729.2023.01041,crossref|dblp|openalex|openreview,core,vision-and-language navigation,"Recent studies in Vision-and-Language Navigation (VLN) train RL agents to execute natural-language navigation instructions in photorealistic environments, as a step towards robots that can follow human instructions. However, given the scarcity of human instruction data and limited diversity in the training environments, these agents still struggle with complex language grounding and spatial language understanding. Pretraining on large text and image-text datasets from the web has been extensively explored but the improvements are limited. We investigate large-scale augmentation with synthetic instructions. We take 500+ indoor environments captured in densely-sampled 360 ° panoramas, construct navigation trajectories through these panoramas, and generate a visually-grounded instruction for each trajectory using Marky [63], a high-quality multilingual navigation instruction generator. We also synthesize image observations from novel viewpoints using an image-to-image GAN [27]. The resulting dataset of 4.2M instruction-trajectory pairs is two orders of magnitude larger than existing human-annotated datasets, and contains a wider variety of environments and viewpoints. To efficiently leverage data at this scale, we train a simple transformer agent with imitation learning. On the challenging RxR dataset, our approach outperforms all existing RL agents, improving the state-of-the-art NDTW from 71.1 to 79.1 in seen environments, and from 64.6 to 66.8 in unseen test environments. Our",include,,,,RxR,,,,,,,,,
Room-Object Entity Prompting and Reasoning for Embodied Referring Expression,2023,IEEE Transactions on Pattern Analysis and Machine Intelligence,Chen Gao; Si Liu; Jinyu Chen; Luting Wang et al.,7,10.1109/TPAMI.2023.3326851,,36,JournalArticle,True,https://www.semanticscholar.org/paper/bb3d4b9f6991509194cffaa132ce4f1eb52141c6,openalex|openreview|s2,core,vision language navigation|vision-language navigation,"Given a high-level instruction, the task of Embodied Referring Expression (REVERIE) requires an embodied agent to localise a remote referred object via navigating in the unseen environment. Previous vision-language navigation methods utilise the provided fine-grained instruction as step-by-step navigation guidance to conduct strict instruction-following, while REVERIE aims to achieve efficient goal-oriented exploration according to the high-level command. In this work, we propose a Cross-modal Knowledge Reasoning (abbreviated as CKR+) framework, which incorporates the prior knowledge as decision guidance to learn the navigation scheme comprehensively. Specifically, we design a Room-Object Aware (ROA) mechanism to explicitly decouple the room- and object-related clues from instruction and visual observations. Moreover, we propose a Knowledge-enabled Entity Relation Reasoning (KERR+) module to leverage the structured knowledge from the knowledge graph explicitly and unstructured knowledge from pre-trained model implicitly, to learn the internal-external correlations among room- and object-entities for the agent to make proper decisions. We devise an Entity Prompter (EP) that embeds in the KERR+ module, which utilises the navigation history and visual entities as prompts to transfer knowledge from the pre-trained CLIP model. In addition, we develop a Reinforced End Decider (RED) to learn the stopping scheme specifically, which is achieved by a customised reinforcement learning s",include,,,,REVERIE,,,,,,,,,
"The Better You Learn, The Smarter You Prune: Towards Efficient Vision-language-action Models via Differentiable Token Pruning",2025,arXiv.org,Titong Jiang; Xuefeng Jiang; Yuan Ma; Xin Wen et al.,10,10.48550/arXiv.2509.12594,2509.12594,36,JournalArticle,True,https://www.semanticscholar.org/paper/6163650edbfba0a837b0722c9c49ed49040ba70d,openalex|s2,recall,vision-language-action model,"We present LightVLA, a simple yet effective differentiable token pruning framework for vision-language-action (VLA) models. While VLA models have shown impressive capability in executing real-world robotic tasks, their deployment on resource-constrained platforms is often bottlenecked by the heavy attention-based computation over large sets of visual tokens. LightVLA addresses this challenge through adaptive, performance-driven pruning of visual tokens: It generates dynamic queries to evaluate visual token importance, and adopts Gumbel softmax to enable differentiable token selection. Through fine-tuning, LightVLA learns to preserve the most informative visual tokens while pruning tokens which do not contribute to task execution, thereby improving efficiency and performance simultaneously. Notably, LightVLA requires no heuristic magic numbers and introduces no additional trainable parameters, making it compatible with modern inference frameworks. Experimental results demonstrate that LightVLA outperforms different VLA models and existing token pruning methods across diverse tasks on the LIBERO benchmark, achieving higher success rates with substantially reduced computational overhead. Specifically, LightVLA reduces FLOPs and latency by 59.1% and 38.2% respectively, with a 2.6% improvement in task success rate. Meanwhile, we also investigate the learnable query-based token pruning method LightVLA* with additional trainable parameters, which also achieves satisfactory performan",exclude,EC4,,,,,,,,,,,,
Spec-VLA: Speculative Decoding for Vision-Language-Action Models with Relaxed Acceptance,2025,Conference on Empirical Methods in Natural Language Processing,Songsheng Wang; Ruchen Yu; Zhihang Yuan; Chaoyang Yu et al.,7,10.48550/arXiv.2507.22424,2507.22424,36,"JournalArticle,Conference",True,https://www.semanticscholar.org/paper/62bce1eb0a1d29a709c446530e89da51f4fd8c25,crossref|openalex|s2,recall,vision-language-action model,"Vision-Language-Action (VLA) models have made substantial progress by leveraging the robust capabilities of Visual Language Models (VLMs). However, VLMs'significant parameter size and autoregressive (AR) decoding nature impose considerable computational demands on VLA models. While Speculative Decoding (SD) has shown efficacy in accelerating Large Language Models (LLMs) by incorporating efficient drafting and parallel verification, allowing multiple tokens to be generated in one forward pass, its application to VLA models remains unexplored. This work introduces Spec-VLA, an SD framework designed to accelerate VLA models. Due to the difficulty of the action prediction task and the greedy decoding mechanism of the VLA models, the direct application of the advanced SD framework to the VLA prediction task yields a minor speed improvement. To boost the generation speed, we propose an effective mechanism to relax acceptance utilizing the relative distances represented by the action tokens of the VLA model. Empirical results across diverse test scenarios affirm the effectiveness of the Spec-VLA framework, and further analysis substantiates the impact of our proposed strategies, which enhance the acceptance length by 44%, achieving 1.42 times speedup compared with the OpenVLA baseline, without compromising the success rate. The success of the Spec-VLA framework highlights the potential for broader application of speculative execution in VLA prediction scenarios.",exclude,EC4,,,,,,,,,,,,
Promptable Behaviors: Personalizing Multi-Objective Rewards from Human Preferences,2023,Computer Vision and Pattern Recognition,Minyoung Hwang; Luca Weihs; Chanwoo Park; Kimin Lee et al.,6,10.1109/CVPR52733.2024.01535,2312.09337,36,"JournalArticle,Conference",True,https://www.semanticscholar.org/paper/90ec1b95ab1579673f0a4b81dc5a76dfc955b2a5,arxiv|openalex|openreview|s2,recall,object goal navigation|object-goal navigation,"Customizing robotic behaviors to be aligned with di-verse human preferences is an underexplored challenge in the field of embodied AI. In this paper, we present Prompt-able Behaviors, a novel framework that facilitates efficient personalization of robotic agents to diverse human prefer-ences in complex environments. We use multi-objective re-inforcement learning to train a single policy adaptable to a broad spectrum of preferences. We introduce three distinct methods to infer human preferences by leveraging different types of interactions: (1) human demonstrations, (2) prefer-ence feedback on trajectory comparisons, and (3) language instructions. We evaluate the proposed method in person-alized object-goal navigation and flee navigation tasks in ProcTHOR [18] and RoboTHOR [17], demonstrating the ability to prompt agent behaviors to satisfy human prefer-ences in various scenarios. Project page: https://promptable-behaviors.github.io",include,,,,ObjectNav,,,,,,,,,
DRAGON: A Dialogue-Based Robot for Assistive Navigation With Visual Language Grounding,2023,IEEE Robotics and Automation Letters,Shuijing Liu; Aamir Hasan; Kaiwen Hong; Runxuan Wang et al.,10,10.1109/LRA.2024.3362591,2307.06924,36,JournalArticle,True,https://www.semanticscholar.org/paper/b4392e9f70d239d7833d531b1f39976bf9e8d2e2,arxiv|openalex|openreview|s2,recall,semantic navigation,"Persons with visual impairments (PwVI) have difficulties understanding and navigating spaces around them. Current wayfinding technologies either focus solely on navigation or provide limited communication about the environment. Motivated by recent advances in visual-language grounding and semantic navigation, we propose DRAGON, a guiding robot powered by a dialogue system and the ability to associate the environment with natural language. By understanding the commands from the user, DRAGON is able to guide the user to the desired landmarks on the map, describe the environment, and answer questions from visual observations. Through effective utilization of dialogue, the robot can ground the user's free-form language to the environment, and give the user semantic information through spoken language. We conduct a user study with blindfolded participants in an everyday indoor environment. Our results demonstrate that DRAGON is able to communicate with the user smoothly, provide a good guiding experience, and connect users with their surrounding environment in an intuitive manner.",include,,,,,,,,,,,,,
GeoVLN: Learning Geometry-Enhanced Visual Representation with Slot Attention for Vision-and-Language Navigation,2023,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),Jingyang Huo; Qiang Sun; Boyan Jiang; Haitao Lin et al.,5,10.1109/cvpr52729.2023.02223,2305.17102,35,proceedings-article,True,https://doi.org/10.1109/cvpr52729.2023.02223,crossref|openalex|s2,core,vision-and-language navigation,"Most existing works solving Room-to-Room VLN problem only utilize RGB images and do not consider local context around candidate views, which lack sufficient visual cues about surrounding environment. Moreover, natural language contains complex semantic information thus its correlations with visual inputs are hard to model merely with cross attention. In this paper, we propose GeoVLN, which learns Geometry-enhanced visual representation based on slot attention for robust Visual-and-Language Navigation. The RGB images are compensated with the corresponding depth maps and normal maps predicted by Omnidata as visual inputs. Technically, we introduce a two-stage module that combine local slot attention and CLIP model to produce geometry-enhanced representation from such input. We employ V&L BERT to learn a cross-modal representation that incorporate both language and vision informations. Additionally, a novel multiway attention module is designed, encouraging different phrases of input instruction to exploit the most related features from visual input. Extensive experiments demonstrate the effectiveness of our newly designed modules and show the compelling performance of the proposed method.",check,no embodiment stated,,,R2R,,,,,,,,,
Rethinking the Embodied Gap in Vision-and-Language Navigation: A Holistic Study of Physical and Visual Disparities,2025,2025 IEEE/CVF International Conference on Computer Vision (ICCV),Liuyi Wang; Xinyuan Xia; Hui Zhao; Hanqing Wang et al.,9,10.1109/iccv51701.2025.00882,2507.13019,35,proceedings-article,True,https://doi.org/10.1109/iccv51701.2025.00882,arxiv|crossref|dblp|openalex|openreview|s2,core,vision-and-language navigation,"Recent Vision-and-Language Navigation (VLN) advancements are promising, but their idealized assumptions about robot movement and control fail to reflect physically embodied deployment challenges. To bridge this gap, we introduce VLN-PE, a physically realistic VLN platform supporting humanoid, quadruped, and wheeled robots. For the first time, we systematically evaluate several ego-centric VLN methods in physical robotic settings across different technical pipelines, including classification models for single-step discrete action prediction, a diffusion model for dense waypoint prediction, and a train-free, map-based large language model (LLM) integrated with path planning. Our results reveal significant performance degradation due to limited robot observation space, environmental lighting variations, and physical challenges like collisions and falls. This also exposes locomotion constraints for legged robots in complex environments. VLN $P E$ is highly extensible, allowing seamless integration of new scenes beyond MP3D, thereby enabling more comprehensive VLN evaluation. Despite the weak generalization of current models in physical deployment, VLN-PE provides a new pathway for improving cross-embodiment's overall adaptability. We hope our findings and tools inspire the community to rethink VLN limitations and advance robust, practical VLN models. The code is available at https://crystalsixone.github.io/vln_pe.github.io.",include,,,,,,,,,,,,,
TANGO: Training-free Embodied AI Agents for Open-world Tasks,2024,Computer Vision and Pattern Recognition,Filippo Ziliotto; Tommaso Campari; Luciano Serafini; Lamberto Ballan,4,10.1109/CVPR52734.2025.02291,2412.10402,35,"JournalArticle,Conference",True,https://www.semanticscholar.org/paper/2fef87c86ea8b318a81031befe5e09fe3706bccd,arxiv|openalex|openreview|s2,recall,objectgoal navigation,"Large Language Models (LLMs) have demonstrated excellent capabilities in composing various modules together to create programs that can perform complex reasoning tasks on images. In this paper, we propose TANGO, an approach that extends the program composition via LLMs already observed for images, aiming to integrate those capabilities into embodied agents capable of observing and acting in the world. Specifically, by employing a simple PointGoal Navigation model combined with a memory-based exploration policy as a foundational primitive for guiding an agent through the world, we show how a single model can address diverse tasks without additional training. We task an LLM with composing the provided primitives to solve a specific task, using only a few in-context examples in the prompt. We evaluate our approach on three key Embodied AI tasks: Open-Set ObjectGoal Navigation, Multi-Modal Lifelong Navigation, and Open Embodied Question Answering, achieving state-of-the-art results without any specific fine-tuning in challenging zero-shot scenarios.",include,,,candidate,,,,,,,,,,
